source_id,source_name,source_category,owner_organization,base_url,list_urls,coverage_region,data_types,source_role,original_or_aggregator,official_source_priority,login_required,robots_status,terms_status,commercial_use_status,rendering_type,api_or_xhr_status,pagination_type,update_frequency,sample_fields,contact_fields_available,organizer_fields_available,official_event_url_available,procurement_information_available,historical_event_available,technical_grade,legal_operational_grade,business_value_grade,implementation_priority,audit_status,evidence_urls,existing_audit_reference,audit_date,notes
icc_jeju,제주국제컨벤션센터(ICC JEJU),VENUE,ICC JEJU,https://www.iccjeju.co.kr/,https://www.iccjeju.co.kr/main/main.php,제주,MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_WITH_DYNAMIC_HINTS,UNKNOWN,WHATS_ON_LIST,VENUE_SCHEDULE,event_name|period|type_convention_event,False,False,True,True,True,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/icc_home.txt,,2026-07-15,What's ON list visible in SSR sample.
kdj_center,김대중컨벤션센터,VENUE,광주관광공사,https://kdjcenter.gjto.or.kr/,https://kdjcenter.gjto.or.kr/events/gallery,광주,MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML_API_HINT,API_HINT_IN_HTML,GALLERY_CALENDAR,VENUE_SCHEDULE,event_name|period|hall|type,False,False,True,True,True,B,B,B,P1,NEWLY_AUDITED,logs/mice-landscape-sample/kdj_home.txt|logs/mice-landscape-sample/kdj_events.txt,,2026-07-15,Wrong DNS kjdc.co.kr discarded; official is kdjcenter.gjto.or.kr.
ceco,CECO 창원컨벤션센터,VENUE,CECO,https://www.ceco.co.kr/,https://www.ceco.co.kr/bbx/board.php?bx_table=01_01&vtype=calendar,경남,MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,NOT_FETCHED,PRIVACY_NOTICE_ON_SITE,UNKNOWN,SSR_HTML_BOARD,NONE_CONFIRMED,CALENDAR_MONTH,VENUE_SCHEDULE,event_name|period|hall|type,False,False,True,True,True,A,B,B,P1,NEWLY_AUDITED,logs/mice-landscape-sample/ceco_home.txt|logs/mice-landscape-sample/ceco_cal.txt,,2026-07-15,Board/calendar HTML confirmed.
suwon_cc,수원컨벤션센터,VENUE,수원컨벤션센터,https://www.suwoncc.co.kr/,https://www.suwoncc.co.kr/,경기,MICE_EVENT,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,NEXT,UNKNOWN,UNKNOWN,UNKNOWN,home_next_shell,False,False,False,False,False,B,B,C,P2,PARTIAL,logs/mice-landscape-sample/suwon_cc.txt,,2026-07-15,/event path 404 in sample; schedule route TBD.
setec,SETEC,VENUE,SETEC,https://www.setec.or.kr/,https://www.setec.or.kr/,서울,MICE_EVENT,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,FETCHED_SHORT,NOT_FULLY_REVIEWED,UNKNOWN,UNKNOWN_SHORT_RESPONSE,UNKNOWN,UNKNOWN,UNKNOWN,,False,False,False,False,False,C,B,C,P2,PARTIAL,logs/mice-landscape-sample/setec_home.txt|logs/mice-landscape-sample/setec_robots.txt,,2026-07-15,Home returned very short body in sample; needs browser verification.
at_center,aT센터,VENUE,한국농수산식품유통공사(aT),https://www.atcenter.co.kr/,https://www.atcenter.co.kr/,서울,MICE_EVENT|ORGANIZER_SIGNAL,VENUE_CALENDAR,ORIGINAL_VENUE,3,False,FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,UNKNOWN,VENUE_SCHEDULE,home_org_hints,False,False,True,False,True,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/aTcenter.txt|logs/mice-landscape-sample/atcenter_robots.txt,,2026-07-15,Home OK; list URL for exhibitions not isolated this pass.
mice_seoul_cvb,서울컨벤션뷰로,REGIONAL_CVB,서울관광재단,https://miceseoul.com/,https://miceseoul.com/kor/bbs/BMSR00001/list.do?menuNo=800040,서울,MICE_SUPPORT_NOTICE|MICE_OPEN_INNOVATION|ORGANIZER_SIGNAL|SALES_LEAD,REGIONAL_OFFICIAL,OFFICIAL_REGIONAL,4,False,YETI_DISALLOW_CMS_UPLOAD_ONLY,NOT_FULLY_REVIEWED,INTERNAL_USE_LIKELY,JS_BOARD_HEAVY,UNKNOWN,BOARD_JS,SUPPORT_NOTICES,notice_title|date|support_program_signals,True,True,False,True,True,B,B,A,P0,PARTIAL,logs/mice-landscape-sample/miceseoul_robots.txt|logs/mice-landscape-sample/miceseoul_notice.txt,,2026-07-15,Notice list via simple fetch returned short body (likely JS). Search snippets and known view URLs show rich support/recruitment notices — prioritize browser/XHR verification.
busan_cvb_bto,부산컨벤션뷰로,REGIONAL_CVB,부산관광공사,https://bto.or.kr/cvb/Main.do,https://bto.or.kr/cvb/Main.do,부산,MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL|SALES_LEAD,REGIONAL_OFFICIAL,OFFICIAL_REGIONAL,4,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML_AJAX_BOARDS,AJAX_BOARD_HINT_ON_HOME,UNKNOWN,PROGRAM_PAGES,support_program|alliance,False,True,False,False,False,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/bto_cvb.txt,,2026-07-15,Support/attraction programs; event master calendar weaker than BEXCO/MiceWorkNet.
busan_mice_platform,부산 MICE 플랫폼,REGIONAL_CVB,부산 MICE 관련 공공·협회 연계,https://www.busanmice.or.kr/,https://www.busanmice.or.kr/main.do,부산,ORGANIZER_SIGNAL|SALES_LEAD|MICE_SUPPORT_NOTICE,DISCOVERY_ONLY,REGIONAL_DIRECTORY,5,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,UNKNOWN,DIRECTORY,supplier_directory|institution_links,True,True,False,True,False,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/busanmice_home.txt,,2026-07-15,Useful PCO/PEO/supplier discovery and institution deep-links.
incheon_cvb,인천MICE뷰로,REGIONAL_CVB,인천관광공사,https://www.incheoncvb.or.kr/,https://www.incheoncvb.or.kr/biz/cvb/cvbMain.do,인천,MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL|SALES_LEAD,REGIONAL_OFFICIAL,OFFICIAL_REGIONAL,4,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,UNKNOWN,PROGRAM_PAGES,org_chart_roles|attraction_support,True,True,False,True,False,B,B,B,P1,NEWLY_AUDITED,logs/mice-landscape-sample/incheon_cvb.txt,,2026-07-15,Strong sales/outreach to CVB staff roles; calendar secondary to Songdo venue.
daejeon_cvb,대전MICE뷰로,REGIONAL_CVB,대전관광공사,https://www.daejeoncvb.kr/,https://www.daejeoncvb.kr/|https://www.daejeoncvb.kr/introduction-project,대전,MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL,REGIONAL_OFFICIAL,OFFICIAL_REGIONAL,4,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,UNKNOWN,PROGRAM_PAGES,smart_mice_district_projects,False,False,False,False,False,B,B,C,P2,PARTIAL,logs/mice-landscape-sample/daejeon_cvb.txt,,2026-07-15,Program/marketing pages confirmed; event calendar weak in sample.
jeju_cvb,제주컨벤션뷰로,REGIONAL_CVB,(사)제주컨벤션뷰로,https://www.jejucvb.or.kr/,,제주,MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL,REGIONAL_OFFICIAL,OFFICIAL_REGIONAL,4,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,False,False,False,False,False,D,B,B,HOLD,PENDING,https://k-mice.visitkorea.or.kr/convention_kr/guidehtml/mice07_5_cvb.jsp|logs/mice-landscape-sample/k-mice_cvb_list.txt,,2026-07-15,Listed on K-MICE CVB directory as www.jejucvb.or.kr but DNS resolve failed in sample. HOLD until reachable URL confirmed — do not invent alternate URL.
kmice_cvb_directory,K-MICE 지역 CVB 안내,NATIONAL_PUBLIC_MICE,한국관광공사,https://k-mice.visitkorea.or.kr/convention_kr/guidehtml/mice07_5_cvb.jsp,https://k-mice.visitkorea.or.kr/convention_kr/guidehtml/mice07_5_cvb.jsp,전국,ORGANIZER_SIGNAL,DISCOVERY_ONLY,OFFICIAL_DIRECTORY,4,False,SAME_AS_K_MICE,KTO,INTERNAL_USE,SSR_HTML,NONE,STATIC_PAGE,OCCASIONAL,cvb_name|website|description,True,True,False,False,False,A,B,B,P1,NEWLY_AUDITED,logs/mice-landscape-sample/k-mice_cvb_list.txt,docs/mice-source-feasibility-audit.md,2026-07-15,"Use to expand regional CVB registry; not an event master calendar. Notes Daegu CVB dissolution into EXCO (press, unverified via EXCO)."
akei,한국전시산업진흥회(AKEI),ASSOCIATION,한국전시산업진흥회,https://akei.or.kr/,https://akei.or.kr/,전국,MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL|MICE_TENDER,ASSOCIATION_CALENDAR,ASSOCIATION,5,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,UNKNOWN,ASSOCIATION_NOTICES,notices|family_site_links,True,True,False,True,False,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/akei_home.txt,,2026-07-15,Hub to SHOWALA / ExpoUP; use for industry notices and organizer network.
showala,SHOWALA 전시포털,ASSOCIATION,한국전시산업진흥회,https://www.showala.com/,https://showala.com/ex/ex_list.php,전국,MICE_EVENT|EXHIBITOR_RECRUITMENT|PARTICIPANT_RECRUITMENT|ORGANIZER_SIGNAL,ASSOCIATION_CALENDAR,OFFICIAL_INDUSTRY_AGGREGATOR,5,False,ALLOW_EXCEPT_ADM_MEMBER,MEMBERSHIP_TERMS_PRESENT,INTERNAL_USE_VERIFY_TERMS_BEFORE_BULK,SSR_HTML,UNKNOWN,FILTER_SEARCH,INDUSTRY_PORTAL,exhibition_search_filters|venue_taxonomy,False,True,True,False,True,A,B,A,P0,NEWLY_AUDITED,logs/mice-landscape-sample/showala_robots.txt|logs/mice-landscape-sample/showala_list.txt,,2026-07-15,Strong discovery index; always refresh date/contact via venue/official event URL (priority policy).
keoa,한국전시주최자협회,ASSOCIATION,(사)한국전시주최자협회,https://www.keoa.org/,https://www.keoa.org/?home=,전국,MICE_TENDER|MICE_EVENT|ORGANIZER_SIGNAL|SALES_LEAD,ASSOCIATION_CALENDAR,ASSOCIATION,5,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,BOARD,BOARD,bid_board|event_guide|organizer_directory,True,True,False,True,True,B,B,A,P0,PARTIAL,logs/mice-landscape-sample/keoa_home.txt,,2026-07-15,Home exposes 입찰정보 menu; adapter for bid board URL pending deeper list sample.
micekorea_assoc,한국MICE협회,ASSOCIATION,(사)한국MICE협회,https://micekorea.or.kr/,https://micekorea.or.kr/,전국,ORGANIZER_SIGNAL|MICE_SUPPORT_NOTICE|SALES_LEAD,ASSOCIATION_CALENDAR,ASSOCIATION,5,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,UNKNOWN,UNKNOWN,ASSOCIATION,member_network_signals|notices,True,True,False,False,False,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/micekorea_home.txt,,2026-07-15,Member ecosystem / alliance outreach value more than event master calendar.
kapco,한국PCO협회,ASSOCIATION,한국PCO협회,https://www.kapco.or.kr/,https://www.kapco.or.kr/,전국,ORGANIZER_SIGNAL|SALES_LEAD,ASSOCIATION_CALENDAR,ASSOCIATION,5,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,False,False,False,False,False,D,B,B,HOLD,PENDING,https://songdoconvensia.visitincheon.or.kr/page/openApiEvent.do,,2026-07-15,Linked from Songdo footer. Sample GET returned 45-byte body — HOLD until working page confirmed.
daara,다아라 산업전시회 일정,COMMERCIAL_PLATFORM,다아라,https://www.daara.co.kr/,https://www.daara.co.kr/calendar.php,국내·해외,MICE_EVENT|SALES_LEAD,COMMERCIAL_AGGREGATOR,COMMERCIAL_AGGREGATOR,6,False,SEARCH_ENGINES_ALLOW_SOME_AI_DISALLOW,NOT_FULLY_REVIEWED,HOLD_TERMS_UNCLEAR,DYNAMIC_HINTS,UNKNOWN,MONTH_YEAR_FILTER,CALENDAR,event_name|period|venue,False,False,False,False,True,B,C,B,HOLD,NEWLY_AUDITED,logs/mice-landscape-sample/daara_robots.txt|logs/mice-landscape-sample/daara_cal.txt,docs/mice-source-feasibility-audit.md,2026-07-15,Discovery-only until commercial terms reviewed. Prefer venue/SHOWALA/K-MICE for canonical.
contentour,콘텐츄어 국내전시회,COMMERCIAL_PLATFORM,콘텐츄어,https://contentour.co.kr/,https://contentour.co.kr/%EC%A0%84%EC%8B%9C%ED%9A%8C-%EC%A0%95%EB%B3%B4/%EA%B5%AD%EB%82%B4%EC%A0%84%EC%8B%9C%ED%9A%8C/,국내,MICE_EVENT,COMMERCIAL_AGGREGATOR,COMMERCIAL_AGGREGATOR,6,False,WP_ALLOW_SITEMAP,NOT_FULLY_REVIEWED,HOLD_TERMS_UNCLEAR,SSR_HTML_WP,UNKNOWN,WP_LIST,UNKNOWN,region|industry|name|period,False,False,False,False,True,A,C,C,HOLD,NEWLY_AUDITED,logs/mice-landscape-sample/contentour_robots.txt|logs/mice-landscape-sample/contentour_list.txt,docs/mice-source-feasibility-audit.md,2026-07-15,Prior audit marked A-candidate technically; legal remains HOLD pending ToS.
gep_kotra,KOTRA GEP 글로벌전시플랫폼,ORGANIZER_EXPORT,KOTRA,https://www.gep.or.kr/,https://www.gep.or.kr/gept/ovrss/main/mainPage.do,해외전시(한국기업 참가 지원),MICE_EVENT|MICE_SUPPORT_NOTICE|EXHIBITOR_RECRUITMENT|SALES_LEAD,ORGANIZER_SOURCE,OFFICIAL_SUPPORT_PORTAL,2,False,NOT_FETCHED,NOT_FULLY_REVIEWED,INTERNAL_USE_LIKELY_PUBLIC_SUPPORT,SSR_HTML,UNKNOWN,UNKNOWN,SUPPORT_CYCLES,overseas_fair|support_program,False,True,True,True,True,B,B,B,P1,PARTIAL,logs/mice-landscape-sample/gep_home.txt,,2026-07-15,Useful for exporter pavilion / overseas show support signals; not domestic venue master.
g2b,나라장터(G2B),PROCUREMENT,조달청,https://www.g2b.go.kr/,https://www.g2b.go.kr/,전국,MICE_TENDER,PROCUREMENT_SOURCE,OFFICIAL_PROCUREMENT,1,False,FETCHED_SHORT_LANDING,PUBLIC_PROCUREMENT,PUBLIC_BID_INFO,COMPLEX_PORTAL,OFFICIAL_OPENAPI_ECOSYSTEM_EXISTS_NOT_REVALIDATED_HERE,PORTAL,CONTINUOUS,bid_title|agency|deadline,True,True,False,True,True,B,A,A,P0,PARTIAL,logs/mice-landscape-sample/g2b_hint.txt,,2026-07-15,Connect via existing opportunity pipeline tender keyword filters (행사/등록/체크인/MICE 시스템). Full API audit out of scope this pass.
pipeline_kstartup,K-Startup(기존 파이프라인),PROCUREMENT,창업진흥원 등,https://www.k-startup.go.kr/,,전국,MICE_SUPPORT_NOTICE|MICE_OPEN_INNOVATION|MICE_TENDER,PROCUREMENT_SOURCE,OFFICIAL,1,False,COVERED_BY_EXISTING_PIPELINE,COVERED_BY_EXISTING_PIPELINE,INTERNAL_PIPELINE,EXISTING_COLLECTOR,EXISTING,EXISTING,PIPELINE,announcement_fields_per_phase1,False,False,True,True,True,A,A,A,P0,VERIFIED_EXISTING_AUDIT,README.md|docs/phase2-normalization-and-filter-policy.md,docs/phase2-normalization-and-filter-policy.md,2026-07-15,Already implemented in opportunity pipeline; keep as MICE tender/support feed via keyword routing.
pipeline_bizinfo_sources,기업마당 등 기존 sources 수집기,PROCUREMENT,복수 공공 포털,https://www.bizinfo.go.kr/,,전국,MICE_SUPPORT_NOTICE|MICE_TENDER|MICE_OPEN_INNOVATION,PROCUREMENT_SOURCE,OFFICIAL,1,False,COVERED_BY_EXISTING_PIPELINE,COVERED_BY_EXISTING_PIPELINE,INTERNAL_PIPELINE,EXISTING_COLLECTOR,EXISTING,EXISTING,PIPELINE,announcement_fields_per_phase1,False,False,True,True,True,A,A,A,P0,VERIFIED_EXISTING_AUDIT,README.md,README.md,2026-07-15,Existing multi-source collectors; MICE keyword bridge only.
micetoday,마이스투데이,MEDIA,마이스투데이,https://www.micetoday.co.kr/,https://www.micetoday.co.kr/article/list/mtd006000000,전국,MICE_EVENT|ORGANIZER_SIGNAL,DISCOVERY_ONLY,MEDIA,6,False,PARTIAL_BOT_BLOCKS,MEDIA_COPYRIGHT_ASSUMED,EXCLUDE_BULK_SCRAPE,CMS,UNKNOWN,ARTICLE_LIST,EDITORIAL,weekly_exhibition_roundup,False,False,False,False,False,B,D,C,EXCLUDE,NEWLY_AUDITED,logs/mice-landscape-sample/micetoday_robots.txt|docs/mice-source-feasibility-audit.md,docs/mice-source-feasibility-audit.md,2026-07-15,News roundups only; not a structured calendar. Exclude bulk collection.
newswire_fairs,뉴스와이어 박람회 일정,MEDIA,뉴스와이어,https://www.newswire.co.kr/,https://www.newswire.co.kr/?md=A07,전국,MICE_EVENT,DISCOVERY_ONLY,MEDIA,6,False,NOT_FETCHED,MEDIA_COPYRIGHT_ASSUMED,HOLD,UNKNOWN,UNKNOWN,UNKNOWN,EDITORIAL,press_fair_titles,False,False,False,False,False,C,C,D,EXCLUDE,PENDING,docs/mice-source-feasibility-audit.md,docs/mice-source-feasibility-audit.md,2026-07-15,Prior landscape mention only; not re-sampled. EXCLUDE as master source.
ijto_jeju,제주관광공사(IJTO),REGIONAL_CVB,제주관광공사,https://ijto.or.kr/,https://ijto.or.kr/korean/,제주,MICE_SUPPORT_NOTICE|ORGANIZER_SIGNAL,REGIONAL_OFFICIAL,OFFICIAL_REGIONAL,4,False,NOT_FETCHED,NOT_FULLY_REVIEWED,UNKNOWN,SSR_HTML,API_HINT,UNKNOWN,UNKNOWN,tourism_org_home,False,False,False,False,False,B,B,C,P2,PARTIAL,logs/mice-landscape-sample/jejumice.txt,,2026-07-15,Fallback while jejucvb DNS unresolved; MICE-specific list URL not confirmed.
